title,image_url,document_url,description,attribute,stocks
"1"" Cutting DiameterHigh Performance, 4 Flute Ballnose End",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-Gorilla-Mill-ballnose.png,https://gorillamill.com/images/uploads/mill-subcategories/4-flute-square-diagram.png,"Patented variable flute and index design which reduces chatter and vibration. Radius corners for stronger edges and part radius. Recommended for aggressive machining applications in all materials including, stainless, inconel, titanium, tool steels and hardened materials. Should be run at specific parameters. See ""Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",GM10B4,,10042,,$362.94,,GM10B4WF,,10043,,$362.95,,GM10BL4,,10902,,$371.6,,GM10BLH4,,10903,,$398.79,,GM10BXL4,,10904,,$420.18,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,GMX-35,,,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,GMX-35,,,,D1: 1.0"", D2: 1, LOC: 2, OAL: 4 1/2,GMX-35,,,,D1: 1.0"", D2: 1, LOC: 2 5/8, OAL: 5,GMX-35,,,,D1: 1.0"", D2: 1, LOC: 3, OAL: 6,GMX-35,,",19
"1"" Cutting DiameterHigh Performance, 2 Flute Radius End",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-Silverback-radius.png,https://gorillamill.com/images/uploads/mill-subcategories/2-flute-silverback-diagram.png,"Engineered to repel aluminum. For roughing and finishing of non-ferrous materials, aluminum, copper, brass, plastic, etc. High velocity, high material removal rate. Center cutting. See ""Speeds and Feeds"" calculator. Produced with the highest Transverse Rupture Strength (TRS) nanograin carbide substrate available.Available in special diameters, lengths, ZrN coating and completely resharpenable.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",GMA10R2030,,20035,,$315.63,,GMA10R2060,,20036,,$315.63,,GMA10R2090,,20037,,$315.63,,GMA10R2120,,20038,,$315.63,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,0.030"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,0.060"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,0.090"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,0.120"",None,,",0
"1"" Cutting DiameterHigh Performance, 4 Flute Ballnose End, Weldon Flat",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-Gorilla-Mill-ballnose-weldon.png,https://gorillamill.com/images/uploads/mill-subcategories/4-flute-square-diagram.png,"Patented variable flute and index design which reduces chatter and vibration. Radius corners for stronger edges and part radius. Recommended for aggressive machining applications in all materials including, stainless, inconel, titanium, tool steels and hardened materials. Should be run at specific parameters. See ""Speeds and Feeds"" calculator. Produced with the highest Transverse Rupture Strength (TRS) nano-grain carbide substrate available.Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",GM10B4WF,,10043,,$362.95,,D1: 1.0"", D2: 1, LOC: 1-1/2, OAL: 4,GMX-35,,",9
"10mm Cutting DiameterHigh Performance, 2 Flute Ballnose End",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-diemold-chimp.png,https://gorillamill.com/images/uploads/mill-subcategories/2-flute-diemold-diagram.png,"Recommended for aggressive machining applications in die, mold and tool steels, (H-13, P-20, A7, D2, etc.). Should be run at specific parameters. Produced with the highest Transverse Rupture Strength (TRS) nano-grain carbide substrate available. See ""Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",DMC1000MMB2,,60007,,$73.59,,D1: 10mm, D2: 10mm, LOC: 10mm, OAL: 100mm,GMS²,,",14
"5/8"" Cutting DiameterHigh Performance, 5 Flute Square End",https://gorillamill.com/images/uploads/product-tool-groups/CMHPXXC5-profile-view.png,https://gorillamill.com/images/uploads/mill-subcategories/5-flute-lemur-diagram.png,"Designed for eye-popping high performance chimpfering and countersinking in all materials. The Lemur high performance chamfer line is designed in 3 flute (Zrn coated) and 5 flute (GMS² coated) configurations and “drop the mic” while achieving maximum finish quality in materials up to 55 Rc.Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",CMHP58C5060,,90237,,$159.4,,CMHP58C5082,,90235,,$159.4,,CMHP58C5090,,90233,,$159.4,,CMHP58C5120,,90231,,$159.4,,D1: 5/8"", D2: 5/8, LOC: 0.463, OAL: 3, D3: 0.090, L3: 0.078, IA: 60°,GMS²,,,,D1: 5/8"", D2: 5/8, LOC: 0.308, OAL: 3, D3: 0.090, L3: 0.052, IA: 82°,GMS²,,,,D1: 5/8"", D2: 5/8, LOC: 0.268, OAL: 3, D3: 0.090, L3: 0.045, IA: 90°,GMS²,,,,D1: 5/8"", D2: 5/8, LOC: 0.154, OAL: 3, D3: 0.090, L3: 0.026, IA: 120°,GMS²,,",17
"12mm Cutting DiameterHigh Performance, 2 Flute Ballnose End",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-diemold-chimp.png,https://gorillamill.com/images/uploads/mill-subcategories/2-flute-diemold-diagram.png,"Recommended for aggressive machining applications in die, mold and tool steels, (H-13, P-20, A7, D2, etc.). Should be run at specific parameters. Produced with the highest Transverse Rupture Strength (TRS) nano-grain carbide substrate available. See ""Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",DMC1200MMB2,,60009,,$89.06,,D1: 12mm, D2: 12mm, LOC: 12mm, OAL: 100mm,GMS²,,",21
"1"" Cutting DiameterHigh Performance, 3 Flute Radius End, Neck Relieved",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-Silverback-neck-relieved-radius.png,https://gorillamill.com/images/uploads/mill-subcategories/3-flute-neck-relieved-diagram.png,"Variable flute and variable index design. Engineered to repel aluminum. For roughing and finishing of non-ferrous materials. Extended neck provides clearance for deep pocketing, slotting or profiling. See ""Call for details.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",GMANR10R30303.250,,20228,,$428.76,,GMANR10R30303.250ZRN,,20511,,$428.76,,GMANR10R30304.250,,20229,,$482.91,,GMANR10R30304.250ZRN,,20512,,$482.91,,GMANR10R30603.250,,20230,,$428.76,,GMANR10R30603.250ZRN,,20513,,$428.76,,GMANR10R30604.250,,20231,,$482.91,,GMANR10R30604.250ZRN,,20514,,$482.91,,GMANR10R30903.250,,20232,,$428.76,,GMANR10R30903.250ZRN,,20515,,$428.76,,GMANR10R30904.250,,20233,,$482.91,,GMANR10R30904.250ZRN,,20516,,$482.91,,GMANR10R31203.250,,20234,,$428.76,,GMANR10R31203.250ZRN,,20517,,$428.76,,GMANR10R31204.250,,20235,,$482.91,,GMANR10R31204.250ZRN,,20518,,$482.91,,GMANR10R31903.250,,20236,,$428.76,,GMANR10R31903.250ZRN,,20519,,$428.76,,GMANR10R31904.250,,20237,,$482.91,,GMANR10R31904.250ZRN,,20520,,$482.91,,GMANR10R32503.250,,20238,,$428.76,,GMANR10R32503.250ZRN,,20521,,$428.76,,GMANR10R32504.250,,20239,,$482.91,,GMANR10R32504.250ZRN,,20522,,$482.91,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.030"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.030"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.030"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.030"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.060"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.060"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.060"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.060"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.090"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.090"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.090"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.090"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.120"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.120"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.120"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.120"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.190"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.190"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.190"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.190"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.250"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 3-1/4"", OAL: 6,0.250"",ZrN,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.250"",None,,,,D1: 1.0"", D2: 1, LOC: 1-1/8, LOR: 4-1/4"", OAL: 7,0.250"",ZrN,,",3
"25mm Cutting DiameterSuper Bitchin' Performance, 7 Flute Radius End",https://gorillamill.com/images/uploads/product-tool-groups/7-flute-baboon-radius.png,https://gorillamill.com/images/uploads/mill-subcategories/7-flute-baboon-diagram.png,"Varaible flute and index design which reduces chatter and vibration. Radius corners for tronger edges and part radius. Recommended for aggressive machining applications in all materials. Should be run at specific parameters. See ""Speeds and Feeds"" calculator. Produced with the highest Transverse Rupture Strength (TRS) nano-grain carbide substrate available.Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.050mm, Shank Dia -.0025-.0127mm, LOC +.635/+.1.270mm, OAL +/-1.270mm",",GMHT2500MMR7100,,30312,,$389.44,,GMHT2500MMR7150,,30313,,$389.44,,D1: 25mm, D2: 25mm, LOC: 38mm, OAL: 100mm,1.0mm"",GMS²,,,,D1: 25mm, D2: 25mm, LOC: 38mm, OAL: 100mm,1.5mm"",GMS²,,",7
"25mm Cutting DiameterSuper Bitchin' Performance, 7 Flute Square End",https://gorillamill.com/images/uploads/product-tool-groups/7-flute-baboon-square.png,https://gorillamill.com/images/uploads/mill-subcategories/7-flute-baboon-diagram.png,"Varaible flute and index design which reduces chatter and vibration. Radius corners for tronger edges and part radius. Recommended for aggressive machining applications in all materials. Should be run at specific parameters. See ""Speeds and Feeds"" calculator. Produced with the highest Transverse Rupture Strength (TRS) nano-grain carbide substrate available.Available in special diameters, lengths and completely resharpenable.Cut Dia +.000/-.050mm, Shank Dia -.0025-.0127mm, LOC +.635/+.1.270mm, OAL +/-1.270mm",",GMHT2500MMF7,,30309,,$369.72,,D1: 25mm, D2: 25mm, LOC: 38mm, OAL: 100mm,GMS²,,",7
"3/4"" Cutting DiameterSuper Bitchin' Performance, 7 Flute Square End",https://gorillamill.com/images/uploads/product-tool-groups/baboon-chimpbreaker.png,https://gorillamill.com/images/uploads/mill-subcategories/baboon-chimpbreakers-diagram.png,"7 Flute Chimpbreakers evacuates chips in the toughest applications while decreasing tool pressure. Variable flute and index design which reduces chatter and vibration. Radius corners for stronger edges and part radius. Recommended for aggressive machining applications in all materials. Should be run at specific parameters. See “Available in special diameters, lengths and completely resharpenable. THE BEST chip control known to man or ape.Cut Dia +.000/-.002, Shank Dia -.0001/-.0005, LOC +.025/+.050, OAL +/-.050",",GMHTCB34F7,,30859,,$220.8,,GMHTCB34F7WTF,,32195,,$245.33,,GMHTCB34FHL7,,30860,,$243.89,,GMHTCB34FHL7WTF,,32196,,$270.99,,GMHTCB34FLH7,,30861,,$271.34,,GMHTCB34FLH7WTF,,32197,,$301.49,,D1: 3/4"", D2: 3/4, LOC: 1-1/2, OAL: 4,GMS²,,,,D1: 3/4"", D2: 3/4, LOC: 1-1/2, OAL: 4,WTF,,,,D1: 3/4"", LOC: 1-5/8, OAL: 4,GMS²,,,,D1: 3/4"", D2: 3/4, LOC: 1-5/8, OAL: 4,WTF,,,,D1: 3/4"", LOC: 2-1/4, OAL: 5,GMS²,,,,D1: 3/4"", D2: 3/4, LOC: 2-1/4, OAL: 5,WTF,,",8
